"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","culture_ID","date","time_point","day"
"sample_00002",47.2226578947368,1.68837858051807,317.69052631579,84.7954715556033,65.4867947368421,9.35248334314959,26.78265,3.33868109353444,14.8809789473684,2.44266504144141,1.82018421052632,0.201300616298939,0.06,0.73,1.64,38,109.19,105,63.95,142.63,86.97,8.06,0.64,1.64,38.18,162.11,16.02,"sample_00002-247",2,"05.10.22",2,12
"sample_00002",58.854032,5.53066695350395,423.31572,63.9926741182775,76.5683604,6.38727423341401,30.8382876,3.47930297862703,17.6011056,2.92773923653487,1.810296,0.408227265609607,-0.18,0.7,5,125,217.65,190,37.91,421.59,84.32,7.87,0.66,1.36,34.09,196.82,16.57,"sample_00002-25",2,"05.10.22",2,12
"sample_00002",54.5688714285714,2.59423830334342,346.09275,66.6799189429964,80.247915,8.28769461727616,35.4070671428571,3.68761899680152,12.3814864285714,1.77341061923475,2.91021428571429,0.467066202453271,0.01,0.77,2.88,70,200.19,200,69.51,220.45,76.55,12.78,0.32,1.94,38.73,162.77,7.89,"sample_00002-263",2,"05.10.22",2,12
"sample_00002",51.1246862745098,3.52215817640376,392.373529411765,83.2396178168432,77.6967088235294,8.7976242234407,33.4699941176471,4.5130584010585,14.8716,2.35869107125117,2.28950980392157,0.377504138920305,-0.11,0.55,2.04,51,165.97,166,81.36,192.09,94.16,7.78,0.82,1.69,42.32,194.62,20.55,"sample_00002-265",2,"05.10.22",2,12
"sample_00002",57.243544,3.92991206193989,391.0356,43.5665922493575,84.5728452000001,5.61315534076274,36.6759252,2.52216402271637,13.6029456,1.49802895510174,2.733712,0.388973707876708,-0.01,0.45,5,125,386.88,387,77.38,466.81,93.36,8.14,0.12,1.44,35.94,203.61,2.98,"sample_00002-3",2,"05.10.22",2,12
"sample_00002",54.48716,3.33636221490297,321.35778,57.0141876392085,68.5320588,7.62748669964813,28.0409364,3.85090133597452,14.7179268,2.52004381345956,1.973048,0.47265224302727,0.03,0.41,5,125,348.11,348,69.62,502.21,100.44,6.48,0.83,1.19,29.75,161.95,20.69,"sample_00002-32",2,"05.10.22",2,12
"sample_00002",49.9478947368421,3.28681422023666,227.476776315789,43.3417838153116,54.6278921052632,5.39977575659931,22.1620263157895,2.41902173709932,13.0007131578947,1.55341539899964,1.71926315789474,0.212654736566936,-0.07,0.62,1.8,38,119.35,101,56.27,195.71,108.73,45.35,1.32,7.45,178.09,1133.71,33.02,"sample_00002-35",2,"05.10.22",2,12
"sample_00002",47.1253666666667,1.4458953909634,287.5905,89.2946761175101,60.36714,9.83987416072289,24.220215,3.37750945908857,14.815035,2.70539612881718,1.65473333333333,0.172489466611599,-0.02,0.38,1.2,30,79.42,79,66.19,93.02,77.52,4.6,0.94,0.94,23.47,115.09,23.39,"sample_00002-36",2,"05.10.22",2,12
"sample_00002",49.741125,3.74502196685921,278.329921875,93.9470188360396,60.7673390625,11.6482170138148,22.6598765625,4.16522704080451,15.39354375,3.1971125611762,1.50565625,0.313394485960818,-0.05,0.63,1.36,32,70.21,70,51.56,104.38,76.75,8.74,0.29,1.82,33.36,148.58,7.3,"sample_00002-400",2,"05.10.22",2,12
"sample_00002",52.6537586206897,3.81554565144051,240.947068965517,52.0732689945694,54.7525086206897,6.85281155179949,21.2773034482759,3.03623117390891,14.3663275862069,1.99589485527644,1.50262068965517,0.27028337164025,0.14,0.69,1.28,29,46.05,30,23.8,100.88,78.81,7.78,0.63,1.9,44.03,180.57,8.3,"sample_00002-409",2,"05.10.22",2,12
"sample_00002",48.4875555555555,2.82356776945728,252.1125,50.688389544504,56.76795,6.92581894002435,21.32505,3.01038066769355,14.9715,1.54410200359303,1.4312962962963,0.204305354953506,0,0.66,1.28,27,107.21,107,83.76,113,88.28,13,0.51,2.75,36.65,171.37,12.77,"sample_00002-410",2,"05.10.22",2,12
"sample_00002",56.4901851851852,6.33895187913001,601.425,276.120201114409,94.97895,26.3966196706058,35.12355,7.52117070585015,20.7492,6.49236645951346,1.79233333333333,0.407465713517478,0.05,0.77,1.16,27,95.43,95,82.26,145.87,125.75,45.43,0.59,8.32,70.63,378.55,14.81,"sample_00002-421",2,"05.10.22",2,12
"sample_00002",64.792944,6.83886609789249,634.18626,81.9051256135818,112.6770588,8.70463204298914,49.8682656,4.32414606066543,16.1843184,1.50953919319365,3.10524,0.367951048637653,0.03,0.62,5,125,115.38,40,8.03,416.69,83.34,6.9,0.38,1.31,32.87,172.43,9.39,"sample_00002-60",2,"05.10.22",2,12
"sample_00002",50.1188429752066,3.95904923352452,310.291921487603,94.0247894566687,78.3780768595042,9.68739580995163,33.7633103305785,4.45643636039922,11.5497632231405,2.56086621522524,3.02419834710744,0.600205612267367,0.06,0.97,4.96,121,326.47,326,65.82,401.91,81.03,8.88,0.22,1.77,44.2,221.98,5.59,"sample_00002-65",2,"05.10.22",2,12
"sample_00002",55.6655,4.97215815038237,418.8105,94.7390559560748,95.08887,13.0157161166044,41.988375,6.04313077398699,12.64626,1.97731462514014,3.38446666666667,0.599864739543113,-0.21,0.87,1.2,30,78.66,76,63.71,113.33,94.44,12.54,0.79,2.22,55.52,313.55,19.66,"sample_00002-68",2,"05.10.22",2,12
"sample_00002",58.7172868852459,7.23393895362584,325.36106557377,76.6554512840527,70.4452020491804,8.60337880668148,29.4759,3.95515108959556,13.9959700819672,2.44452686816914,2.15496721311475,0.379460402760609,-0.02,0.59,5,122,355.09,355,71.02,466.79,93.36,22.07,0.34,2.31,41.11,207.66,8.53,"sample_00002-69",2,"05.10.22",2,12
"sample_00002",59.1282,4.83231538705826,330.28074,53.6517144291954,67.6064556,6.67860426995083,27.8496468,2.6747861986668,15.0519384,1.61407375782241,1.865168,0.219656944259202,-0.02,0.56,5,125,352.64,353,70.53,440.59,88.12,6.5,0.68,1.33,33.67,162.43,17.08,"sample_00002-8",2,"05.10.22",2,12
"sample_00002",64.278768,4.39552946852198,504.803339999999,37.4303607805172,97.5233196,5.66063708993497,42.297714,2.54289357476174,15.2181828,1.05968830062429,2.796888,0.299238744257017,0.03,0.47,5,125,280.39,272,54.4,498.56,99.71,9.12,0.46,1.5,37.39,227.89,11.48,"sample_00002-9",2,"05.10.22",2,12
"sample_00003",63.5364428571428,4.37120966123617,343.046571428571,28.580031757303,68.3358235714286,4.0554853521766,27.5200971428571,1.86800305090225,15.9103671428571,1.38763270893967,1.74657142857143,0.223956878058732,0.02,0.68,2.8,70,151.65,152,54.16,220.32,78.69,6.8,0.43,1.51,38.21,169.89,10.86,"sample_00003-10",3,"05.10.22",2,12
