"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","day","trophic_type"
"sample_00001",59.2325203252033,5.05371382893288,302.712804878049,45.5902262100074,64.1745878048781,6.01189335366436,25.8697865853659,3.33692932857387,14.9935609756098,2.12484118312536,1.77013821138211,0.379919972703555,-0.06,0.66,4.92,123,167.19,165,33.6,434.26,88.26,7.78,0.58,1.45,36.22,194.44,14.49,"sample_00001-99","22.09.22",0,0,"autotrophic"
"sample_00002",57.9460588235294,5.74260235592608,246.0375,38.6227660124886,57.3391852941176,4.84295377031061,22.7897867647059,2.07444119642426,13.7565794117647,1.82290049880193,1.68764705882353,0.287897453108073,-0.37,0.59,4.44,102,170.89,160,36.13,470.24,105.91,50.04,0.65,4.98,120.36,1251.08,16.17,"sample_00002-116","22.09.22",0,0,"autotrophic"
"sample_00002",54.9238163265306,5.65939542440073,255.075612244898,44.551892527056,56.6914867346939,6.03643426972289,21.9005816326531,2.73791695688175,14.8216775510204,1.86820351073066,1.49895918367347,0.257147733088692,-0.09,0.64,2.04,49,104.97,105,51.46,144.15,70.66,7.44,0.51,1.43,35.07,185.97,12.85,"sample_00002-120","22.09.22",0,0,"autotrophic"
"sample_00002",61.8170285714286,3.92782099812063,266.657785714286,54.8850264381994,57.7025485714286,6.64374944389888,23.1427414285714,2.28995187303286,14.5804628571429,2.29371671946822,1.61394285714286,0.222150312501553,0.03,0.72,1.4,35,90.68,91,64.77,113.09,80.78,6.03,0.51,1.54,38.49,150.68,12.66,"sample_00002-134","22.09.22",0,0,"autotrophic"
"sample_00002",64.172304,4.11993399810897,310.46652,32.6841396207949,64.8078732,5.39280620715086,25.851474,2.99826842850653,15.36489,1.35434096791725,1.703656,0.299968011842983,-0.03,0.53,5,125,330.33,330,66.07,452.2,90.44,7.23,0.1,1.42,35.61,180.85,2.49,"sample_00002-136","22.09.22",0,0,"autotrophic"
"sample_00002",58.117,4.25664222128193,220.5225,32.9099762683106,51.7923,4.79508137359765,20.5611,2.03726366099803,13.6464,1.48652119638695,1.52266666666667,0.217739081683348,0.01,0.69,1.24,27,67.35,67,54.31,101.77,82.07,10.47,0.62,2.17,41.42,170.64,15.59,"sample_00002-139","22.09.22",0,0,"autotrophic"
"sample_00002",53.7275666666667,3.23745233684348,225.261,31.3393992389001,56.60874,3.69712885419912,23.597325,2.05215011616286,12.139875,1.11561030372818,1.95966666666667,0.248875447776086,-0.01,0.36,1.2,30,102.32,102,85.27,117.23,97.69,6.73,1.62,1.21,30.36,168.34,40.47,"sample_00002-143","22.09.22",0,0,"autotrophic"
"sample_00002",56.5145,3.40452550128339,201.516428571429,20.387809645542,49.5481339285714,3.41192308855756,19.0043357142857,1.3258381219871,13.5197678571429,1.27156401684248,1.41882142857143,0.173175580686284,0.01,0.58,1.24,28,87.93,88,70.91,111.84,90.19,11.54,0.68,2.75,42.75,168.99,16.91,"sample_00002-163","22.09.22",0,0,"autotrophic"
"sample_00002",50.6907307692308,2.9133743948582,188.62875,26.3463161775038,50.1081576923077,4.54196087659707,20.4355211538462,1.96682645483393,11.8002980769231,1.5187782708138,1.76757692307692,0.329471355122344,-0.16,0.92,1.44,26,74.65,75,51.84,111.6,77.5,14.58,0.99,3.88,35.15,160.76,18.99,"sample_00002-170","22.09.22",0,0,"autotrophic"
"sample_00002",54.4224173913043,4.86046012366422,240.902804347826,47.2184333931097,56.7605034782609,6.10972759704355,23.1693456521739,2.86562756520052,13.2058173913043,1.74386256419734,1.78080869565217,0.294768654325464,0.11,0.7,4.88,115,168.2,154,31.57,396.67,81.28,9.45,0.45,1.6,30.56,187.14,11.24,"sample_00002-178","22.09.22",0,0,"autotrophic"
