"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","species","comment","manual_count"
"sample_00003",112.196147826087,8.98725358615274,9823.95645652174,1857.42768731043,464.385643043478,72.9121390402754,187.653897391304,31.3559882828559,65.8104221739131,7.37520543555738,2.8448347826087,0.36914828310573,0,0.06,4.6,115,1687.29,1687,366.8,1702.22,370.05,21.74,5.35,2.67,66.74,543.57,133.74,"sample_00003-3","22.09.22","Ble",NA,5
"sample_00003",113.123896,7.03658359509142,10049.87736,523.024925869481,471.8874348,31.9233505738406,186.3761724,16.8055010156362,68.998554,4.50097013338648,2.724488,0.382437041329217,0.01,0.06,5,125,1463.86,1464,292.77,1593.77,318.75,21.6,5.58,4.14,103.46,540.08,139.58,"sample_00003-5","22.09.22","Ble",NA,5
"sample_00004",92.756624,7.91976417014482,5776.17318,474.384720529883,376.274322,43.1429762132974,149.9124024,11.7114862568587,49.2318648,4.24214648903553,3.077872,0.434008770091261,-0.01,0.17,5,125,1209.61,1210,241.92,1284.25,256.85,32.2,0.87,5.56,139.11,805.1,21.64,"sample_00004-1","22.09.22","Ble",NA,9
"sample_00004",105.944888888889,20.3370471664957,13321.3359375,5220.23568106552,566.5714875,180.913110396825,221.95805625,63.9271549283261,72.114075,17.2587962183933,3.01459722222222,0.522838667377281,0.01,0.23,2.92,72,1055.02,1050,359.46,1120.09,383.59,96.78,3.67,11.66,188.55,1209.74,91.68,"sample_00004-104","22.09.22","Ble",NA,9
"sample_00004",129.996525,5.26966720516118,13514.839875,682.832646305131,599.81799375,28.6701066262893,237.262635,9.22957359808243,72.54036,2.76752446203577,3.276125,0.191432528100963,-0.01,0.2,4.8,120,1357.09,1357,282.73,1415.38,294.87,20.52,2.57,4.96,123.97,512.94,64.3,"sample_00004-13","22.09.22","Ble",NA,9
"sample_00004",110.947952,10.0672453978684,9519.3549,840.118279800037,444.9366612,43.1317180185189,176.2216884,20.8616195110233,69.1423452,4.07677525260579,2.57092,0.421043818116587,0.02,0.29,5,125,459.63,213,42.64,925.25,185.05,34.44,0.68,5.69,142.22,860.91,16.9,"sample_00004-15","22.09.22","Ble",NA,9
"sample_00004",145.564328,28.2152000606788,9175.42728,1474.86028084337,430.2285192,41.4633625531789,154.6446492,25.1612513258426,75.6100656,3.6070534673927,2.051616,0.36162176782896,-0.03,0.26,5,125,692.85,693,138.57,746.82,149.36,15.87,0.66,4.26,106.43,396.8,16.56,"sample_00004-16","22.09.22","Ble",NA,9
"sample_00004",112.793664,11.5785478948759,8755.39206,1175.76662227611,421.9457508,42.8086653589546,167.4837972,18.3631024229123,66.5569872,5.15491000225679,2.535232,0.378571745788929,0.02,0.24,5,125,710.03,710,142.01,885.8,177.16,21.55,0.36,4.8,120.08,538.76,8.89,"sample_00004-19","22.09.22","Ble",NA,9
"sample_00004",131.934688,12.901494517338,11616.9066,1257.78753528791,567.2978532,96.213048423533,210.9039768,25.1797168794163,70.4490696,5.50382761459745,3.02428,0.503456802131924,0,0.25,5,125,1324.95,1325,264.99,1388.41,277.68,39.3,1.8,6.69,167.14,982.44,45.02,"sample_00004-2","22.09.22","Ble",NA,9
"sample_00004",148.94744,23.2768417508379,8537.1732,1032.36514678389,471.71646,69.7721007328456,170.3961036,24.1223013818763,64.25244,6.11215630017279,2.697008,0.570208825584271,0,0.39,5,125,276.7,160,31.91,737.19,147.44,39.52,0.54,5.23,130.71,987.9,13.42,"sample_00004-20","22.09.22","Ble",NA,9
"sample_00004",139.85046875,49.672501314353,5699.0998828125,3883.60001449191,322.772090625,126.070020892643,126.5152921875,46.9696551855441,48.41604140625,26.3376769072995,3.369671875,1.65778515519464,-0.06,1.06,2.64,64,492.46,480,181.66,545.62,206.67,21.59,0.26,6.52,163.32,539.82,6.57,"sample_00004-26","22.09.22","Ble",NA,9
"sample_00004",123.764912,16.917388460005,6267.0672,1344.97854409465,367.7365008,68.7401946403818,147.2453316,34.1466034739433,55.0883916,7.88482495564989,2.779256,0.894298733230717,0.02,0.3,5,125,306.43,306,61.29,558.33,111.67,15.12,0.44,3.48,86.94,378.04,10.92,"sample_00004-28","22.09.22","Ble",NA,9
"sample_00004",111.62428,16.1515996913718,6244.23492,942.328830922409,379.7572248,67.3210154184749,159.4008396,32.9486315262169,50.6025468,3.71059132804732,3.209016,0.837873402401349,-0.01,0.27,5,125,439.26,439,87.85,767.88,153.58,19.01,1.44,3.4,84.94,475.37,35.92,"sample_00004-30","22.09.22","Ble",NA,9
