"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","day","trophic_type"
"sample_00001",21.0335853658537,1.42403207435103,683.304146341463,168.019965943978,94.1840341463415,12.4336329909667,31.755556097561,4.12490205541591,26.9688512195122,4.19694296149721,1.19307317073171,0.146896969036788,0.19,0.78,1.64,41,46.09,37,22.66,118.58,72.3,5.46,0.69,1.11,27.72,136.58,17.24,"sample_00001-1220","22.09.22",0,0,"autotrophic"
"sample_00001",19.61175,1.51149385573542,540.696696428571,176.91296594111,83.5219928571429,14.3245716833499,31.5295392857143,4.17638189025073,21.2902714285714,4.87622774671745,1.53371428571429,0.276313812089303,-0.25,0.75,1.12,28,39.92,40,35.65,80.3,71.7,5.73,0.66,1.35,33.86,143.27,16.48,"sample_00001-1227","22.09.22",0,0,"autotrophic"
"sample_00001",87.0531794871795,1.82061490294661,949.662692307692,380.43072249736,179.387480769231,39.3246015234966,65.6971269230769,15.5051589782743,17.6973576923077,3.778643597115,3.73171794871795,0.574815803390321,-3.11,1.4,1.56,39,32.98,30,19.37,206.07,132.1,17.58,0.24,5.16,128.99,439.57,5.88,"sample_00001-1233","22.09.22",0,0,"autotrophic"
"sample_00001",19.7277631578947,2.72603344583209,454.090263157895,139.080802593057,80.8066657894737,14.1947966396051,30.5384921052632,6.13599434051466,18.5900328947368,3.40435349875667,1.66376315789474,0.311902222569529,-0.07,0.59,1.52,38,53.53,54,35.21,112.57,74.06,6.2,0.73,1.33,33.33,154.96,18.25,"sample_00001-1242","22.09.22",0,0,"autotrophic"
"sample_00001",17.6469696969697,1.1946822403062,476.169545454545,204.558511824718,81.0900818181818,13.9458459016521,26.2944409090909,4.61459036402228,22.0990090909091,6.08128927087082,1.23436363636364,0.202808687280313,-0.01,0.98,1.36,33,72.69,73,53.45,102.5,75.37,5.77,0.31,1.39,34.75,144.27,7.84,"sample_00001-1271","22.09.22",0,0,"autotrophic"
"sample_00001",33.9213,3.01093018219768,326.40975,95.1900689373046,62.71857,10.1612602716582,22.866975,3.58818620655171,17.87886,3.09370033291794,1.29816666666667,0.209352051838991,0.02,0.58,1.28,30,31.29,21,16.72,111.87,87.4,17.63,0.74,3.02,38.34,178.81,18.47,"sample_00001-1292","22.09.22",0,0,"autotrophic"
"sample_00001",18.3528387096774,0.689111751787483,678.85185483871,194.431438032545,99.5105903225806,13.9171648974352,31.5713177419355,3.88611019848358,26.8738403225806,5.31928587753123,1.20564516129032,0.200220969329238,-0.03,1,1.24,31,38.96,24,19.15,96.05,77.46,6.23,0.39,1.37,34.32,155.66,9.65,"sample_00001-1296","22.09.22",0,0,"autotrophic"
"sample_00001",25.9134315789474,2.77204533770848,954.107526315789,81.8256697245043,113.352551052632,5.53371641229001,41.3581310526316,3.76704588409563,29.5904936842105,3.45411166565146,1.42833684210526,0.283637002452315,0.02,0.44,3.8,95,164.95,165,43.41,308.94,81.3,6.08,0.92,1.14,28.52,151.92,23.01,"sample_00001-131","22.09.22",0,0,"autotrophic"
"sample_00001",22.8298076923077,2.30571307875426,368.425384615385,60.3524221042217,69.4501788461538,5.55403267740069,27.4119576923077,3.20099970227091,17.1600057692308,2.33802104260534,1.63142307692308,0.325180094480203,0.11,0.59,1.04,26,64.96,50,47.89,87.6,84.23,7.59,1.36,1.54,38.43,189.77,34.11,"sample_00001-1336","22.09.22",0,0,"autotrophic"
"sample_00001",25.358184,2.59881941057362,1093.0626,263.696940082571,125.0642592,19.1214282605395,46.8409068,8.98811871106335,29.6759052,4.20341605592243,1.607808,0.361010112806258,-0.04,0.47,5,125,216.98,163,32.64,458.43,91.69,23.5,0.62,2.25,56.15,587.6,15.46,"sample_00001-141","22.09.22",0,0,"autotrophic"
